quarter_cad_number;street;wall_material_code;year_build;floor;area;period_start_date;deal_price;price_per_sqm
78:10:0005225;Меншиковский;Крупнопанельные;1967;1;57.1;01.07.2025;1600000;28021.02
78:10:0005225;Меншиковский;Крупнопанельные;1967;2;58.4;01.07.2025;1600000;27397.26
78:10:0005225;Меншиковский;Крупнопанельные;1967;4;48.9;01.07.2025;7000000;143149.28
78:10:0005225;Меншиковский;Крупнопанельные;1967;5;48.9;01.07.2025;6000000;122699.39
78:10:0005225;Меншиковский;Крупнопанельные;1968;5;44.3;01.07.2025;1700000;38374.72
78:10:0005225;Пискаревский;Крупнопанельные;1967;1;45.3;01.07.2025;5350000;118101.55
78:10:0005225;Пискаревский;Крупнопанельные;1967;3;44.8;01.07.2025;5855757;130708.86
78:10:0522301;Верности;Крупнопанельные;1966;4;44.9;01.07.2025;5800000;129175.95
78:10:0522301;Верности;Крупнопанельные;1966;5;89.5;01.07.2025;12960000;144804.47
78:10:0522301;Верности;Крупнопанельные;1967;1;44.5;01.07.2025;5200000;116853.93
78:10:0522301;Верности;Крупнопанельные;1967;3;110;01.07.2025;12203500;110940.91
78:10:0522301;Верности;Крупнопанельные;1967;4;103.9;01.07.2025;7600000;73147.26
78:10:0522301;Карпинского;Крупнопанельные;1972;8;31.4;01.07.2025;5490000;174840.76
78:10:0522301;Науки;Крупнопанельные;1966;1;44.8;01.07.2025;2941000;65647.32
78:10:0522301;Науки;Крупнопанельные;1966;3;44.6;01.07.2025;2770000;62107.62
78:10:0522301;Руставели;Крупнопанельные;1968;3;44.5;01.07.2025;6700000;150561.80
78:10:0005224;Карпинского;Крупнопанельные;1966;2;45.6;01.07.2025;3300000;72368.42
78:10:0005224;Карпинского;Крупнопанельные;1967;1;60.1;01.07.2025;3600000;59900.17
78:10:0005224;Карпинского;Крупнопанельные;1967;2;76.7;01.07.2025;11550000;150586.70
78:10:0005224;Карпинского;Крупнопанельные;1967;3;31.4;01.07.2025;5600000;178343.95
78:10:0005224;Карпинского;Крупнопанельные;1967;5;55.1;01.07.2025;6600000;119782.21
78:10:0005224;Руставели;Крупнопанельные;1967;1;45.2;01.07.2025;6500000;143805.31
78:10:0005217;Карпинского;Крупнопанельные;1965;1;133.4;01.07.2025;9200000;68965.52
78:10:0005217;Карпинского;Крупнопанельные;1965;2;58.7;01.07.2025;5400000;91993.19
78:10:0005217;Карпинского;Крупнопанельные;1965;3;44.6;01.07.2025;7550000;169282.51
78:10:0005217;Карпинского;Крупнопанельные;1965;4;75.9;01.07.2025;6400000;84321.48
78:10:0005217;Карпинского;Крупнопанельные;1965;5;145.8;01.07.2025;21130000;144924.55
78:10:0005217;Карпинского;Крупнопанельные;1965;6;58.2;01.07.2025;8000000;137457.04
78:10:0005217;Карпинского;Крупнопанельные;1966;1;31;01.07.2025;5300000;170967.74
78:10:0005217;Карпинского;Крупнопанельные;1966;2;50.3;01.07.2025;6350000;126242.54
78:10:0005217;Карпинского;Крупнопанельные;1966;7;58.7;01.07.2025;8000000;136286.20
78:10:0005217;Карпинского;Крупнопанельные;1966;9;51.1;01.07.2025;6300000;123287.67
78:10:0005217;Карпинского;Крупнопанельные;1970;6;45688;01.07.2025;6100000;196141.48
78:10:0005217;Карпинского;Крупнопанельные;1970;7;31.6;01.07.2025;5675000;179588.61
78:10:0005217;Карпинского;Крупнопанельные;1971;3;50.6;01.07.2025;7100000;140316.21
78:10:0005217;Карпинского;Крупнопанельные;1971;6;45807;01.07.2025;6300000;206557.38
78:10:0005217;Науки;Крупнопанельные;1965;1;146.9;01.07.2025;16500000;112321.31
78:10:0005217;Науки;Крупнопанельные;1965;5;97.7;01.07.2025;14977601.33;153301.96
78:10:0005217;Науки;Крупнопанельные;1969;3;80.5;01.07.2025;13500000;167701.86
78:10:0005217;Науки;Крупнопанельные;1969;4;45.4;01.07.2025;7027223;154784.65
78:10:0005217;Науки;Крупнопанельные;1969;7;31;01.07.2025;5700000;183870.97
78:10:0005217;Науки;Крупнопанельные;1971;8;50.3;01.07.2025;7250000;144135.19
78:10:0005217;Северный;Крупнопанельные;1966;1;55.7;01.07.2025;6400000;114901.26
78:10:0005217;Северный;Крупнопанельные;1966;2;98.1;01.07.2025;15099000;153914.37
78:10:0005217;Северный;Крупнопанельные;1966;3;91.9;01.07.2025;12400000;134929.27
78:10:0005217;Северный;Крупнопанельные;1966;4;121.6;01.07.2025;18150000;149259.87
78:10:0005217;Северный;Крупнопанельные;1966;5;76.8;01.07.2025;14400000;187500.00
78:10:0005217;Северный;Крупнопанельные;1966;7;141;01.07.2025;21910000;155390.07
78:10:0005217;Северный;Крупнопанельные;1966;9;80.3;01.07.2025;12180000;151681.20
78:10:0005217;Софьи Ковалевской;Крупнопанельные;1965;1;45688;01.07.2025;4550000;146302.25
78:10:0005217;Софьи Ковалевской;Крупнопанельные;1965;3;45.6;01.07.2025;6350000;139254.39
78:10:0005217;Софьи Ковалевской;Крупнопанельные;1965;4;164;01.07.2025;27500000;167682.93
78:10:0005217;Софьи Ковалевской;Крупнопанельные;1965;5;45.4;01.07.2025;7180000;158149.78
78:10:0005217;Софьи Ковалевской;Крупнопанельные;1966;2;45.8;01.07.2025;7100000;155021.83
78:10:0005217;Софьи Ковалевской;Крупнопанельные;1970;3;45838;01.07.2025;6900000;225490.20
78:10:0005217;Софьи Ковалевской;Крупнопанельные;1970;6;46.1;01.07.2025;7350000;159436.01
78:10:0005217;Софьи Ковалевской;Крупнопанельные;1970;8;61.3;01.07.2025;8800000;143556.28
78:10:0005217;Софьи Ковалевской;Крупнопанельные;1971;3;50.6;01.07.2025;7300000;144268.77
78:10:0005211;Гражданский;Крупнопанельные;1968;1;65.8;01.07.2025;8300000;126139.82
78:10:0005211;Гражданский;Крупнопанельные;1968;2;166.2;01.07.2025;17260000;103850.78
78:10:0005211;Гражданский;Крупнопанельные;1968;3;31.2;01.07.2025;5950000;190705.13
78:10:0005211;Гражданский;Крупнопанельные;1968;4;46;01.07.2025;8700000;189130.43
78:10:0005211;Гражданский;Крупнопанельные;1968;5;59.2;01.07.2025;200000;3378.38
78:10:0005211;Гражданский;Крупнопанельные;1968;6;50.8;01.07.2025;8500000;167322.83
78:10:0005211;Гражданский;Крупнопанельные;1968;8;74.5;01.07.2025;1900000;25503.36
78:10:0005211;Гражданский;Крупнопанельные;1968;9;50.3;01.07.2025;7762000;154314.12
78:10:0005211;Науки;Крупнопанельные;1967;2;41.8;01.07.2025;6800000;162679.43
78:10:0005211;Северный;Крупнопанельные;1967;5;56;01.07.2025;9000000;160714.29
78:10:0005211;Северный;Крупнопанельные;1968;5;46;01.07.2025;8100000;176086.96
78:10:0005211;Северный;Крупнопанельные;1969;2;59.4;01.07.2025;9950000;167508.42
78:10:0005211;Софьи Ковалевской;Крупнопанельные;1967;5;45.8;01.07.2025;6400000;139737.99
78:10:0005211;Софьи Ковалевской;Крупнопанельные;1972;1;65.6;01.07.2025;8200000;125000.00
78:10:0005211;Софьи Ковалевской;Крупнопанельные;1972;5;50.1;01.07.2025;2100000;41916.17
78:10:0005212;Вавиловых;Крупнопанельные;1967;4;119.7;01.07.2025;19750000;164995.82
78:10:0005212;Вавиловых;Крупнопанельные;1967;5;45899;01.07.2025;5650000;183441.56
78:10:0005212;Вавиловых;Крупнопанельные;1968;2;50.3;01.07.2025;5700000;113320.08
78:10:0005212;Вавиловых;Крупнопанельные;1968;4;54.2;01.07.2025;8700000;160516.61
78:10:0005212;Вавиловых;Крупнопанельные;1968;9;74.3;01.07.2025;11250000;151413.19
78:10:0005212;Вавиловых;Крупнопанельные;1969;7;44.5;01.07.2025;7400000;166292.13
78:10:0005212;Вавиловых;Крупнопанельные;1971;5;45687;01.07.2025;5970000;198338.87
78:10:0005212;Вавиловых;Крупнопанельные;1971;7;45688;01.07.2025;6400000;205787.78
78:10:0005212;Гражданский;Крупнопанельные;1967;1;45868;01.07.2025;5750000;187296.42
78:10:0005212;Гражданский;Крупнопанельные;1967;2;46.3;01.07.2025;2880000;62203.02
78:10:0005212;Гражданский;Крупнопанельные;1967;4;44.8;01.07.2025;6600000;147321.43
78:10:0005212;Гражданский;Крупнопанельные;1967;5;46.6;01.07.2025;6000000;128755.36
78:10:0005212;Гражданский;Крупнопанельные;1968;3;45747;01.07.2025;6200000;198083.07
78:10:0005212;Гражданский;Крупнопанельные;1968;4;61.1;01.07.2025;13420000;219639.93
78:10:0005212;Гражданский;Крупнопанельные;1968;8;31.4;01.07.2025;8500000;270700.64
78:10:0005212;Науки;Крупнопанельные;1968;2;58.8;01.07.2025;3750000;63775.51
78:10:0005212;Северный;Крупнопанельные;1967;1;90.1;01.07.2025;12500000;138734.74
78:10:0005212;Северный;Крупнопанельные;1967;2;45.1;01.07.2025;6500000;144124.17
78:10:0005212;Северный;Крупнопанельные;1967;3;89.7;01.07.2025;12200000;136008.92
78:10:0005212;Северный;Крупнопанельные;1967;4;31.4;01.07.2025;6200000;197452.23
78:10:0005212;Северный;Крупнопанельные;1968;3;74.3;01.07.2025;10100000;135935.40
78:10:0005212;Северный;Крупнопанельные;1968;6;59.3;01.07.2025;10300000;173693.09
78:10:0005212;Северный;Крупнопанельные;1968;8;104;01.07.2025;8050000;77403.85
78:10:0005212;Северный;Крупнопанельные;1968;9;29.2;01.07.2025;4950000;169520.55
78:10:0005218;Верности;Крупнопанельные;1965;1;45930;01.07.2025;4750000;153721.68
78:10:0005218;Верности;Крупнопанельные;1965;2;45930;01.07.2025;5000000;161812.30
78:10:0005218;Верности;Крупнопанельные;1966;1;107.9;01.07.2025;17300000;160333.64
78:10:0005218;Верности;Крупнопанельные;1966;2;99;01.07.2025;17700000;178787.88
78:10:0005218;Верности;Крупнопанельные;1966;3;59.8;01.07.2025;5840000;97658.86
78:10:0005218;Верности;Крупнопанельные;1966;5;93;01.07.2025;9075000;97580.65
78:10:0005218;Науки;Крупнопанельные;1965;1;151.9;01.07.2025;22300000;146807.11
78:10:0005218;Науки;Крупнопанельные;1965;2;111.5;01.07.2025;18450000;165470.85
78:10:0005218;Науки;Крупнопанельные;1965;3;61.5;01.07.2025;10300000;167479.67
78:10:0005218;Науки;Крупнопанельные;1965;4;80;01.07.2025;11900000;148750.00
78:10:0005218;Науки;Крупнопанельные;1965;5;103.9;01.07.2025;19235000;185129.93
78:10:0005218;Науки;Крупнопанельные;1972;4;44.2;01.07.2025;6700000;151583.71
78:10:0005218;Науки;Крупнопанельные;1966;4;44.6;01.07.2025;726000;16278.03
78:10:0005203;Гражданский;Крупнопанельные;1964;4;45868;01.07.2025;4800000;156351.79
78:10:0005203;Гражданский;Крупнопанельные;1964;5;58.2;01.07.2025;7500000;128865.98
