number;okato;region_code;district;city;quarter_cad_number;street;realestate_type_code;wall_material_code;year_build;floor;purpose_code;area;period_start_date;deal_price;currency;doc_type;price_per_sqm
1;40288563000;78;;;78:07:0003003;Мичуринская;Помещения;"Кирпичные;Каркасно-панельные";1998;4;Жилое помещение;146.100001;01.07.2025;47500000;рубль;ДКП;325119.778746613
1;40288566000;78;;;78:07:0003269;Константиновский;Помещения;Кирпичные;1998;1;Жилое помещение;74.800001;01.07.2025;39600000;рубль;ДКП;529411.757628185
1;40288566000;78;;;78:07:0003167;Всеволода Вишневского;Помещения;Кирпичные;2000;8;Жилое помещение;100.800001;01.07.2025;14000000;рубль;ДКП;138888.887511023
1;40288566000;78;;;78:07:0003153;Ждановская;Помещения;Кирпичные;2001;4;Жилое помещение;231.800001;01.07.2025;79000000;рубль;ДКП;340811.042533171
1;40288564000;78;;;78:07:0003170;Профессора Попова;Помещения;Кирпичные;2002;8;Жилое помещение;43.900001;01.07.2025;16500000;рубль;ДКП;375854.205561408
1;40288565000;78;;;78:07:0003152;Петровский;Помещения;"Кирпичные;Каркасно-панельные";2002;5;Жилое помещение;183.100001;01.07.2025;55000000;рубль;ДКП;300382.303110965
1;40288564000;78;;;78:07:0003082;Реки Карповки;Помещения;"Кирпичные;Каркасно-панельные";2004;3;Жилое помещение;107.900001;01.07.2025;47000000;рубль;ДКП;435588.5038407
1;40288566000;78;;;78:07:0003207;Песочная;Помещения;Кирпичные;2005;4;Жилое помещение;126.500001;01.07.2025;96000000;рубль;ДКП;758893.274633255
1;40288566000;78;;;78:07:0003208;Песочная;Помещения;Монолитные;2006;8;Жилое помещение;163.600001;01.07.2025;63000000;рубль;ДКП;385085.572218303
1;40288566000;78;;;78:07:0003282;Кемская;Помещения;Монолитные;2006;4;Жилое помещение;254.100001;01.07.2025;110000000;рубль;ДКП;432900.431196771
1;40288566000;78;;;78:07:0003282;Кемская;Помещения;Монолитные;2006;6;Жилое помещение;143.700001;01.07.2025;67000000;рубль;ДКП;466249.126887619
1;40288564000;78;;;78:07:0003115;Каменноостровский;Помещения;Кирпичные;2007;7;Жилое помещение;79.500001;01.07.2025;32000000;рубль;ДКП;402515.718207349
1;40288564000;78;;;78:07:0003120;Аптекарская;Помещения;Монолитные;2007;5;Жилое помещение;105.900001;01.07.2025;59800000;рубль;ДКП;564683.658501571
1;40288564000;78;;;78:07:0003120;Аптекарская;Помещения;Монолитные;2007;6;Жилое помещение;129.900001;01.07.2025;44000000;рубль;ДКП;338722.091310838
1;40288566000;78;;;78:07:0003218;Вязовая;Помещения;Монолитные;2007;3;Жилое помещение;142.300001;01.07.2025;79750000;рубль;ДКП;560435.695288575
1;40288566000;78;;;78:07:0003218;Вязовая;Помещения;Монолитные;2007;7;Жилое помещение;91.300001;01.07.2025;85000000;рубль;ДКП;930996.703932128
1;40288566000;78;;;78:07:0003267;Рюхина;Помещения;"Монолитные;Кирпичные";2007;2;Жилое помещение;168.900001;01.07.2025;69369017;рубль;ДКП;410710.577793306
1;40288566000;78;;;78:07:0003287;Мартынова;Помещения;"Монолитные;Кирпичные";2007;2;Жилое помещение;170.900001;01.07.2025;100000000;рубль;ДКП;585137.50389036
1;40288566000;78;;;78:07:0003177;Петрозаводская;Помещения;Монолитные;2008;3;Жилое помещение;58.000001;01.07.2025;19000000;рубль;ДКП;327586.201248514
1;40288566000;78;;;78:07:0003177;Петрозаводская;Помещения;Монолитные;2008;7;Жилое помещение;65.100001;01.07.2025;30000000;рубль;ДКП;460829.486008764
1;40288566000;78;;;78:07:0003282;Морской;Помещения;"Каркасно-панельные;Кирпичные";2008;3;Жилое помещение;120.400001;01.07.2025;60500000;рубль;ДКП;502491.69017864
1;40288566000;78;;;78:07:0320701;Каменноостровский;Помещения;"Кирпичные;Монолитные";2008;мезонин-надстройка 1;Жилое помещение;173.600001;01.07.2025;85000000;рубль;ДКП;489631.333585073
1;40288563000;78;;;78:07:0003032;Дивенская;Помещения;"Кирпичные;Монолитные";2009;4;Жилое помещение;47.800001;01.07.2025;18000000;рубль;ДКП;376569.029778891
1;40288563000;78;;;78:07:0003032;Дивенская;Помещения;"Кирпичные;Монолитные";2009;5;Жилое помещение;43.200001;01.07.2025;17738000;рубль;ДКП;410601.84234718
1;40288566000;78;;;78:07:0003155;Ждановская;Помещения;"Кирпичные;Каркасно-панельные";2009;7;Жилое помещение;102.300001;01.07.2025;35000000;рубль;ДКП;342130.983947889
1;40288566000;78;;;78:07:0320301;Барочная;Помещения;"Монолитные;Каркасно-панельные";2010;2;Жилое помещение;115.100001;01.07.2025;41300000;рубль;ДКП;358818.415648841
1;40288566000;78;;;78:07:0320301;Барочная;Помещения;"Монолитные;Каркасно-панельные";2010;3;Жилое помещение;76.400001;01.07.2025;37000000;рубль;ДКП;484293.187378361
1;40288566000;78;;;78:07:0003018;Депутатская;Помещения;"Кирпичные;Монолитные";2012;1;Жилое помещение;123.400001;01.07.2025;67000000;рубль;ДКП;542949.752488252
1;40288566000;78;;;78:07:0003161;Корпусная;Помещения;"Монолитные;Каркасно-панельные";2012;10;Жилое помещение;109.200001;01.07.2025;60000000;рубль;ДКП;549450.544418951
1;40288566000;78;;;78:07:0003161;Корпусная;Помещения;"Монолитные;Каркасно-панельные";2012;5;Жилое помещение;74.900001;01.07.2025;26500000;рубль;ДКП;353805.068707542
1;40288566000;78;;;78:07:0003198;Глухая Зеленина;Помещения;"Кирпичные;Каркасно-панельные;Монолитные";2012;9;Жилое помещение;128.400001;01.07.2025;49500000;рубль;ДКП;385514.015689143
1;40288565000;78;;;78:07:0003141;Большая Зеленина;Помещения;Монолитные;2013;4;Жилое помещение;100.900001;01.07.2025;32500000;рубль;ДКП;322101.086996025
3;40288564000;78;;;78:07:0003170;Академика Павлова;Помещения;Монолитные;2014;6;Жилое помещение;217.500001;01.07.2025;81525509.65;рубль;ДКП;374829.927701931
1;40288563000;78;;;78:07:0003008;Куйбышева;Помещения;Кирпичные;2015;7;Жилое помещение;71.500001;01.07.2025;26000000;рубль;ДКП;363636.35855054
1;40288563000;78;;;78:07:0003031;Большая Посадская;Помещения;Смешанные;2015;3;Жилое помещение;77.600001;01.07.2025;28000000;рубль;ДКП;360824.737618238
1;40288563000;78;;;78:07:0003031;Большая Посадская;Помещения;Смешанные;2015;5;Жилое помещение;38.900001;01.07.2025;19500000;рубль;ДКП;501285.334157189
1;40288563000;78;;;78:07:0003031;Дивенская;Помещения;Монолитные;2015;7;Жилое помещение;59.700001;01.07.2025;25000000;рубль;ДКП;418760.461997312
1;40288563000;78;;;78:07:0003031;Дивенская;Помещения;Монолитные;2015;8;Жилое помещение;45.100001;01.07.2025;22500000;рубль;ДКП;498891.341487997
1;40288563000;78;;;78:07:0003054;Чапаева;Помещения;Кирпичные;2015;5;Жилое помещение;100.400001;01.07.2025;40300000;рубль;ДКП;401394.418312805
1;40288564000;78;;;78:07:0003170;Медиков;Помещения;Бетонные;2015;10;Жилое помещение;41.500001;01.07.2025;15400000;рубль;ДКП;371084.328407607
1;40288564000;78;;;78:07:0003170;Медиков;Помещения;Бетонные;2015;13;Жилое помещение;68.300001;01.07.2025;23000000;рубль;ДКП;336749.629037341
1;40288564000;78;;;78:07:0003170;Медиков;Помещения;Бетонные;2015;3;Жилое помещение;57.000001;01.07.2025;23000000;рубль;ДКП;403508.764850723
1;40288566000;78;;;78:07:0003198;Глухая Зеленина;Помещения;Смешанные;2015;10;Жилое помещение;74.400001;01.07.2025;33500000;рубль;ДКП;450268.811152301
1;40288566000;78;;;78:07:0003198;Глухая Зеленина;Помещения;Смешанные;2015;3;Жилое помещение;75.100001;01.07.2025;30700000;рубль;ДКП;408788.276847027
2;40288564000;78;;;78:07:0003299;Аптекарский;Помещения;Смешанные;2016;10;Жилое помещение;142.900001;01.07.2025;82500000;рубль;ДКП;577326.797919337
1;40288564000;78;;;78:07:0003299;Аптекарский;Помещения;Смешанные;2016;3;Жилое помещение;94.700001;01.07.2025;37500000;рубль;ДКП;395987.324223999
3;40288564000;78;;;78:07:0003299;Аптекарский;Помещения;Смешанные;2016;5;Жилое помещение;175.000001;01.07.2025;86650000;рубль;ДКП;495142.854313469
1;40288566000;78;;;78:07:0003153;Ждановская;Помещения;Железобетонные;2016;3;Жилое помещение;67.800001;01.07.2025;21300000;рубль;ДКП;314159.28740178
1;40288566000;78;;;78:07:0003179;Малая Зеленина;Помещения;"Кирпичные;Монолитные";2016;10;Жилое помещение;79.100001;01.07.2025;46500000;рубль;ДКП;587863.456537757
1;40288564000;78;;;78:07:0003170;Академика Павлова;Помещения;Бетонные;2017;7;Жилое помещение;59.400001;01.07.2025;19700000;рубль;ДКП;331649.826066501
1;40288564000;78;;;78:07:0003170;Академика Павлова;Помещения;Железобетонные;2017;5;Жилое помещение;69.500001;01.07.2025;24000000;рубль;ДКП;345323.736038507
1;40288565000;78;;;78:07:0003152;Петровский;Помещения;Кирпичные;2017;4;Жилое помещение;113.400001;01.07.2025;57000000;рубль;ДКП;502645.498213003
1;40288565000;78;;;78:07:0003152;Петровский;Помещения;Кирпичные;2017;8;Жилое помещение;82.800001;01.07.2025;50000000;рубль;ДКП;603864.727006465
1;40288565000;78;;;78:07:0003190;Ждановская;Помещения;Кирпичные;2017;10;Жилое помещение;146.600001;01.07.2025;41000000;рубль;ДКП;279672.576537022
2;40288565000;78;;;78:07:0003190;Ждановская;Помещения;Кирпичные;2017;11;Жилое помещение;316.200001;01.07.2025;168000000;рубль;ДКП;531309.296232418
1;40288565000;78;;;78:07:0003190;Ждановская;Помещения;Кирпичные;2017;3;Жилое помещение;74.800001;01.07.2025;22700000;рубль;ДКП;303475.931771712
1;40288565000;78;;;78:07:0003190;Ждановская;Помещения;Кирпичные;2017;4;Жилое помещение;114.900001;01.07.2025;57500000;рубль;ДКП;500435.156654176
1;40288565000;78;;;78:07:0003190;Ждановская;Помещения;Кирпичные;2017;6;Жилое помещение;141.600001;01.07.2025;54000000;рубль;ДКП;381355.929510198
1;40288565000;78;;;78:07:0003190;Ждановская;Помещения;Кирпичные;2017;7;Жилое помещение;231.400001;01.07.2025;90700000;рубль;ДКП;391961.968919784
2;40288565000;78;;;78:07:0003190;Ждановская;Помещения;Кирпичные;2017;8;Жилое помещение;272.200001;01.07.2025;147700000;рубль;ДКП;542615.721739105
1;40288566000;78;;;78:07:0003218;Вязовая;Помещения;"Железобетонные;Кирпичные";2017;4;Жилое помещение;103.400001;01.07.2025;95000000;рубль;ДКП;918762.080089341
1;40288566000;78;;;78:07:0003218;Вязовая;Помещения;"Железобетонные;Кирпичные";2017;8;Жилое помещение;103.200001;01.07.2025;11400000;рубль;ДКП;110465.115208671
1;40288566000;78;;;78:07:0003218;Вязовая;Помещения;"Железобетонные;Кирпичные";2017;9;Жилое помещение;162.600001;01.07.2025;117500000;рубль;ДКП;722632.221878031
2;40288566000;78;;;78:07:0003266;Спортивная;Помещения;"Кирпичные;Монолитные";2017;3;Жилое помещение;143.900001;01.07.2025;109000000;рубль;ДКП;757470.460337245
1;40288565000;78;;;78:07:0003190;Ждановская;Помещения;Смешанные;2018;3;Жилое помещение;33.900001;01.07.2025;17500000;рубль;ДКП;516224.173562709
2;40288565000;78;;;78:07:0003190;Пионерская;Помещения;Смешанные;2018;10;Жилое помещение;185.600001;01.07.2025;53500000;рубль;ДКП;288254.308791733
1;40288565000;78;;;78:07:0003190;Пионерская;Помещения;Смешанные;2018;11;Жилое помещение;71.800001;01.07.2025;13500000;рубль;ДКП;188022.281503868
1;40288565000;78;;;78:07:0003190;Пионерская;Помещения;Смешанные;2018;3;Жилое помещение;45.300001;01.07.2025;23500000;рубль;ДКП;518763.785457753
2;40288565000;78;;;78:07:0003190;Пионерская;Помещения;Смешанные;2018;8;Жилое помещение;125.700001;01.07.2025;51300000;рубль;ДКП;408114.555225819
1;40288565000;78;;;78:07:0003190;Пионерская;Помещения;Смешанные;2018;9;Жилое помещение;38.200001;01.07.2025;19000000;рубль;ДКП;497382.185932403
2;40288565000;78;;;78:07:0003212;Петровский;Помещения;"Железобетонные;Монолитные";2018;3;Жилое помещение;132.000001;01.07.2025;65000000;рубль;ДКП;492424.238693756
1;40288565000;78;;;78:07:0003212;Петровский;Помещения;"Железобетонные;Монолитные";2018;5;Жилое помещение;70.100001;01.07.2025;30000000;рубль;ДКП;427960.050956347
1;40288565000;78;;;78:07:0003212;Петровский;Помещения;"Железобетонные;Монолитные";2018;6;Жилое помещение;56.200001;01.07.2025;28400000;рубль;ДКП;505338.069300034
1;40288565000;78;;;78:07:0003212;Петровский;Помещения;"Железобетонные;Монолитные";2018;7;Жилое помещение;35.700001;01.07.2025;20000000;рубль;ДКП;560224.073943303
1;40288566000;78;;;78:07:0003154;Офицерский;Помещения;Бетонные;2018;3;Жилое помещение;39.200001;01.07.2025;6000000;рубль;ДКП;153061.220585173
1;40288566000;78;;;78:07:0003157;Корпусная;Помещения;Смешанные;2018;4;Жилое помещение;68.300001;01.07.2025;35000000;рубль;ДКП;512445.087665519
2;40288566000;78;;;78:07:0003157;Корпусная;Помещения;Смешанные;2018;5;Жилое помещение;136.500001;01.07.2025;64500000;рубль;ДКП;472527.469065733
1;40288566000;78;;;78:07:0003157;Корпусная;Помещения;Смешанные;2018;8;Жилое помещение;43.600001;01.07.2025;24800000;рубль;ДКП;568807.326403502
1;40288565000;78;;;78:07:0003212;Петровский;Помещения;"Кирпичные;Из прочих материалов;Монолитные";2019;3;Жилое помещение;38.800001;01.07.2025;17150000;рубль;ДКП;442010.297886333
3;40288565000;78;;;78:07:0003212;Петровский;Помещения;"Кирпичные;Из прочих материалов;Монолитные";2019;7;Жилое помещение;219.400001;01.07.2025;105300000;рубль;ДКП;479945.303190769
2;40288565000;78;;;78:07:0003212;Петровский;Помещения;"Монолитные;Из прочих материалов;Кирпичные";2019;1;Жилое помещение;192.300001;01.07.2025;59811789;рубль;ДКП;311033.742532326
2;40288565000;78;;;78:07:0003212;Петровский;Помещения;"Монолитные;Из прочих материалов;Кирпичные";2019;3;Жилое помещение;90.600001;01.07.2025;37400000;рубль;ДКП;412803.5274525
2;40288565000;78;;;78:07:0003212;Петровский;Помещения;"Монолитные;Из прочих материалов;Кирпичные";2019;4;Жилое помещение;84.400001;01.07.2025;42500000;рубль;ДКП;503554.496403383
1;40288565000;78;;;78:07:0003212;Петровский;Помещения;"Монолитные;Из прочих материалов;Кирпичные";2019;8;Жилое помещение;36.300001;01.07.2025;20000000;рубль;ДКП;550964.172149747
1;40288566000;78;;Санкт-Петербург;78:07:0003200;Большая Зеленина;Помещения;Смешанные;2019;4;Жилое помещение;122.400001;01.07.2025;77000000;рубль;ДКП;629084.962180678
